"lang"
{
	"Language"		"Spanish"
	"Tokens"
	{		
		"addon_game_name"								"Legion TD Reborn"
		
		// ******************************** ERROR ********************************
		 "Error_not_enough_tangos"		"No tienes suficientes tangos"
		 "Error_not_between_rounds"		"Solo puedes usar esto en las proximas rondas"
		 "Error_unknown"					"Error desconocido"
		 "Error_invalid_location"		"Solo puedes construir en tu propia linea"
		 "Error_not_enough_food"		"No tienes suficiente comida"
		 "Error_to_close_to_another"	"Demasiado cerca de otra unidad"
		 
		 
		// ******************************** HUD ********************************
		"QuestTimer"    "Next round starts in %quest_current_value% seconds"
		"Round"			"Round"
		"Income"			"Income:"
		
		"end_screen_legend_kills"		"asesinatos"
		"end_screen_legend_leaks" 		"Fugas"
		"end_screen_legend_tango_income"	"Tango income"
		"end_screen_legend_gold_income"	"Gold Income"
		
		"gold_income_text"				"/round"
		"tango_income_text"				"/min"
		
		"DOTA_Tooltip_ability_main_building_tango_collector"                              "Nuevo recolector de tangos"
		"DOTA_Tooltip_ability_main_building_tango_collector_Description"                  "+1 Tango por recoleccion"

		"DOTA_Tooltip_ability_main_building_tango_speed"                                  "Mejorar velocidad de recoleccion de tangos"
		"DOTA_Tooltip_ability_main_building_tango_speed_Description"                      "Disminuye el tiempo de recoleccion de tangos un 40%"
		
		"game_info_panel_header_objective"			"Objetivo:"
		"legion_brief_description"					"Sobrevive mas tiempo que tu enemigo! Defendiendo a tu rey"
		"game_info_panel_header_how_to_play"			"Como jugar:"
		"game_info_panel_king"						"Defiende a tu rey para sobrevivir."
		"game_info_panel_units"						"Contruye unidades para defenderte y gana oro con cada asesinato."
		"game_info_panel_tango"						"Manten un ojo en tus ingresos de tango. incrementalo enviando Poderosas unidades."
		"legion_info_tips_header"						"Tips:"
		"game_info_panel_tip01"						"- Si tienes suficientes unidades para sobrevivir, usa tu oro para aumentar tu Tango income."
		"game_info_panel_tip02"						"- Envia unidades para aumentar tu ingreso de oro."
		"game_info_panel_tip03"						"- Si dejas pasar algunas unidades, tus aliados te ayudaran."
		"game_info_panel_tip04"						"- No lo se."
		
		"Upgrade_King"									"Mejoras"
		"Upgrade_King_Health"							"Vida del rey"
		"Upgrade_King_Attack"							"Ataque del rey"
		"Upgrade_King_Regen"							"Regeneracion del rey"
		

		// ******************** HEROES ********************
		"npc_dota_hero_invoker"                                                           "Constructor de elementos"
		"npc_dota_hero_furion"                                                            "Constructor de la naturaleza"
		"npc_dota_hero_ancient_apparition"                                                "Testbuilder"

		// ******************** UNITS ********************
		"dire_king"                                                                       "rey dire"
		"radiant_king"                                                                    "rey Radiant"
		"dire_food_building"                                                              "edificio de comida dire"
		"dire_main_building"                                                              "Edificio principal dire"
		"dire_unit_building"                                                              "edificio de unidades dire"
		"dire_unit_building_2"                                                            "edificio de unidades dire 2"
		"radiant_food_building"                                                           "edificio de comida radiant"
		"radiant_main_building"                                                           "edificio principal radiant"
		"radiant_unit_building"                                                           "edificio de uniades radiant"
		"radiant_unit_building_2"                                                         "edificio de unidades radiant 2"
		"tower_elementalbuilder_earthbender"                                              "Earthbender"
		"tower_elementalbuilder_firebender"                                               "Firebender"
		"tower_elementalbuilder_thunderbender"                                            "Thunderbender"
		"tower_elementalbuilder_voidbender"                                               "Voidbender"
		"tower_elementalbuilder_waterbender"                                              "Waterbender"
		"incomeunit_centaur"                                                              "centauro"
		"incomeunit_ghost"                                                                "fantasma"
		"incomeunit_golem"                                                                "Golem"
		"incomeunit_harpy"                                                                "Arpia"
		"incomeunit_hill_troll_shaman"                                                    "troll chaman de las colinas"
		"incomeunit_hill_troll_warrior"                                                   "troll guerrero de las colinas"
		"incomeunit_kobold"                                                               "Kobold"
		"incomeunit_little_centaur"                                                       "centauro peque�o"
		"incomeunit_little_golem"                                                         "golem peque�o"
		"incomeunit_little_wolf"                                                          "lobo peque�o"
		"incomeunit_ogre_warrior"                                                         "guerrero ogro"
		"incomeunit_satyr"                                                                "Satyro"
		"incomeunit_wolf"                                                                 "lobo"
		"incomeunit_ancientgolem"                                                         "golem ancestral"
		"incomeunit_beast"                                                                "bestia"
		"incomeunit_big_lizard"                                                           "gran lagarto"
		"incomeunit_vulture"                                                              "Buitre"
		"incomeunit_diablo"                                                               "Diablo"
		"incomeunit_fleshgolem"                                                           "golem de carne"
		"incomeunit_hulk"                                                                 "Hulk"
		"incomeunit_jellyfish"                                                            "Jellyfish"
		"incomeunit_lizard"                                                               "Lagarto"
		"incomeunit_lycanwolf"                                                            "Hombre lobo"
		"incomeunit_rosh"                                                                 "Roshan"
		"incomeunit_vulture"                                                              "Vulture"
		"incomeunit_black_drake"                                                          "Black Drake"
		"tower_naturebuilder_agressive_boar"                                              "Jabali agresivo"
		"tower_naturebuilder_bear"                                                        "oso"
		"tower_naturebuilder_big_bug"                                                     "gran insecto"
		"tower_naturebuilder_big_centaur"                                                 "gran centauro"
		"tower_naturebuilder_broodmother"                                                 "Broodmother"
		"tower_naturebuilder_bug"                                                         "insecto"
		"tower_naturebuilder_centaur"                                                     "Centauro"
		"tower_naturebuilder_centaur_warrunner"                                           "Centauro de guerra"
		"tower_naturebuilder_druid_bear"                                                  "druida oso"
		"tower_naturebuilder_flower_treant"                                               "Flower Treant"
		"tower_naturebuilder_hyena"                                                       "Hyena"
		"tower_naturebuilder_iron_bear"                                                   "oso de hierro"
		"tower_naturebuilder_shroom"                                                      "hongo"
		"tower_naturebuilder_spider"                                                      "ara�a"
		"tower_naturebuilder_treant"                                                      "Treant"
		"bird_ranged"                                                                     "pajaro a distancia"
		"human_footman"                                                                   "Humano a pie"
		"unit_abaddon"                                                                    "Abaddon"
		"unit_assassins"                                                                  "Asesino"
		"unit_chaos"                                                                      "un tipo random"
		"unit_chen"                                                                       "el tipo op del final"
		"unit_deathprophet"                                                               "Deathprophet"
		"unit_donkey"                                                                     "Donkey"
		"unit_dragon"                                                                     "se�or de los dragones"
		"unit_drunken"                                                                    "borracho"
		"unit_earthspirit"                                                                "earthspirit"
		"unit_enchantress"                                                                "Enchantress"
		"unit_fatty"                                                                      "Fatty"
		"unit_gatling_sniper"                                                             "Gatling Guy"
		"unit_huskar"                                                                     "Berserker"
		"unit_hydra"                                                                      "Hydra"
		"unit_king"                                                                       "rey"
		"unit_kunkka"                                                                     "pirata"
		"unit_lightning_ball"                                                             "cosa esponjosa"
		"unit_little_fishy"                                                               "pescadito"
		"unit_necro"                                                                      "Necro"
		"unit_not_lifestealer"                                                            "un no Lifestealer"
		"unit_ogre"                                                                       "Ogro"
		"unit_phantom"                                                                    "Phantom"
		"unit_predator"                                                                   "Predator"
		"unit_rubick"                                                                     "The Grand Magus"
		"unit_space_cow"                                                                  "vaca del espacio"
		"unit_techies"                                                                    "Kamikaze"
		"unit_templer"                                                                    "Templer"
		"unit_tidehunter"                                                                 "Tidehunter"
		"unit_tiny"                                                                       "Tiny"
		"unit_unicorn"                                                                    "Unicornio"
		"unit_zombie"                                                                     "Zombie"
		"elementalbuilder"                                                                "Constructor elemental"
		"naturebuilder"                                                                   "constructor de la naturaleza"
		"npc_dota_hero_ancient_apparition_barebones"                                      "Testbuilder"
		"tower_elementalbuilder_earthelemental"                                           "elemental tierra"
		"tower_elementalbuilder_earthgod"                                                 "dios de tierra"
		"tower_elementalbuilder_earthwarrior"                                             "guerrero de tierra"
		"tower_elementalbuilder_fireelemental"                                            "elemental de fuego"
		"tower_elementalbuilder_firegod"                                                  "dios del fuego"
		"tower_elementalbuilder_firewarrior"                                              "guerrero de fuego"
		"tower_elementalbuilder_thunderelemental"                                         "elemental del trueno"
		"tower_elementalbuilder_thundergod"                                               "dios del trueno"
		"tower_elementalbuilder_thunderwarrior"                                           "guerrero del trueno"
		"tower_elementalbuilder_voidelemental"                                            "elemental del vacio"
		"tower_elementalbuilder_voidgod"                                                  "dios del vacio"
		"tower_elementalbuilder_voidwarrior"                                              "guerrero del vacio"
		"tower_elementalbuilder_waterelemental"                                           "elemental de agua"
		"tower_elementalbuilder_watergod"                                                 "dios del agua"
		"tower_elementalbuilder_waterwarrior"                                             "guerrero de agua"

		// ******************** ABILITY MODIFIERS ********************
		"DOTA_Tooltip_isBoss"                                                             "es un jefe"
		"DOTA_Tooltip_isBoss_Description"                                                 ""

		"DOTA_Tooltip_modifier_hoof_stomp"                                                "Hoof Stomp"
		"DOTA_Tooltip_modifier_hoof_stomp_Description"                                    ""

		"DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack"                         "ataque frio"
		"DOTA_Tooltip_modifier_item_skadi_datadriven_cold_attack_Description"             ""

		"DOTA_Tooltip_modifier_fury_swipes_caster_datadriven"                             "golpetazo furioso"
