"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"addon_game_name"								"Legion TD Reborn"
		
		// ******************************** ERROR ********************************
		 "Error_not_enough_tangos"		"Not enough Tangos"
		 "Error_not_between_rounds"		"You can only use this between rounds"
		 "Error_unknown"					"Unknown Error"
		 "Error_invalid_location"		"You can only build on your lane"
		 "Error_not_enough_food"		"Not enough Food"
		 "Error_to_close_to_another"	"Space already full"
		 "Error_to_many_king_upgrades"	"That upgrade is maxed"
		 "Error_not_possible_in_last_duel"	"Not possible during duel"
		 
		 
		 
		// ******************************** HUD ********************************
		"Options_title"	"Vote Options"
		"Option_Income_Limit"	"Tango Limit"
		"Option_Return_To_Sender"	"Return to Sender"
		"Option_Fog_Of_War"	"Fog of War"
		"Option_Deactivate_Duels" "Deactivate Duels"
		"Option_Hard_Mode"	"Hard Mode"
		"QuestTimer"    "Next round starts in %quest_current_value% seconds"
		"Duel_Quest_Title"		"Duel"
		"Round"			"Round"
		"Income"			"Income:"
		"Skip"			"Skip"
		"Ready"			"Ready"
		"Rank"			"Rank"
		"Player"		"Player"
		
		"end_screen_legend_kills"		"Kills"
		"end_screen_legend_leaks" 		"Leaks"
		"end_screen_legend_tango_income"	"Tango Income"
		"end_screen_legend_gold_income"	"Gold Income"
		"end_screen_legend_tower_value"		"Tower Value"

		"attribute_rating"				"Rating"
		"attribute_experience"			"Experience"
		"attribute_kills"				"Kills"
		"attribute_won_games"			"Won Games"
		"attribute_earned_tangos"		"Earned Tangos"
		"attribute_tangos_per_minute"	"Tangos per Minute"
		"attribute_gold_per_minute"		"Gold per Minute"
		
		"gold_income_text"				"/round"
		"tango_income_text"				"/min"
		"tango_maximum_text"			"max"
		
		"DOTA_Tooltip_ability_main_building_tango_collector"                              "New Tango Collector"
		"DOTA_Tooltip_ability_main_building_tango_collector_Description"                  "+1 Tango per tick"

		"DOTA_Tooltip_ability_main_building_tango_speed"                                  "Upgrade Tango Speed"
		"DOTA_Tooltip_ability_main_building_tango_speed_Description"                      "Decreases time between ticks by 40%"
		
		"legion_game_info_header_objective"			"Objective:"
		"legion_brief_description"					"Survive longer than your enemy! Defend your King"
		"legion_game_info_header_how_to_play"			"How To Play:"
		"legion_game_info_king"						"Defend your king to survive."
		"legion_game_info_units"						"Build units to defend and earn gold for kills."
		"legion_game_info_tango"						"Keep an eye on your Tango income, increase it to send mighty units."
		"legion_info_tips_header"						"Tips:"
		"legion_game_info_tip01"						"- If you have enough units to survive, use your gold to increase your Tango income."
		"legion_game_info_tip02"						"- Send units to increase your gold income."
		"legion_game_info_tip03"						"- If you let units pass, your teammates will help."
		"legion_game_info_tip04"						"- I don't know."
		"legion_contributor_creator"						"Creator"
		"legion_contributor_leader"						"Active Project Leader"
		"legion_contributor_previous_leader"			"Previous Project Leader"
		"legion_contributor_design"						"Game Designer"
		"legion_contributor_programming"					"Programmer"
		"legion_contributor_label"						"Contributors"
		
		"Upgrade_King"									"Upgrade"
		"Upgrade_King_Health"							"King Health"
		"Upgrade_King_Attack"							"King Attack"
		"Upgrade_King_Regen"							"King Regen"

		"Coming_Soon"									"Coming soon™"
		"Check_out_workshop"							"Check out the workshop page!"				
    
		"ScoreboardCheckbox"							"Show always"

		"wavetitle_abaddon"                                                                    "Abaddon (Normal / Heavy)"
		"wavetitle_assassins"                                                                  "Assassin (Pierce / Light)"
		"wavetitle_chaos"                                                                      "The Random Guy (Normal / Heavy)"
		"wavetitle_chen"                                                                       "The OP Guy at the end"
		"wavetitle_deathprophet"                                                               "Deathprophet (Arcane / Light)"
		"wavetitle_donkey"                                                                     "Donkey (Normal / Light)"
		"wavetitle_dragon"                                                                     "Dragonlord"
		"wavetitle_drunken"                                                                    "Drunken (Normal / Medium)"
		"wavetitle_earthspirit"                                                                "Earthspirit (Normal / Light)"
		"wavetitle_enchantress"                                                                "Enchantress (Normal / Light)"
		"wavetitle_fatty"                                                                      "Fatty"
		"wavetitle_gatling_sniper"                                                             "Gatling Guy (Arcane / Light)"
		"wavetitle_huskar"                                                                     "Berserker (Pierce / Light)"
		"wavetitle_hydra"                                                                      "Hydra (Arcane / Medium)"
		"wavetitle_king"                                                                       "King"
		"wavetitle_kunkka"                                                                     "Pirate (Normal / Medium)"
		"wavetitle_lightning_ball"                                                             "Fluffy Thing (Pierce / Medium)"
		"wavetitle_little_fishy"                                                               "Little Fishy (Normal / Medium)"
		"wavetitle_necro_replacement"															"Bloody Berserker (Pierce / Medium)"
		"wavetitle_not_lifestealer"                                                            "Not Lifestealer (Normal / Light)"
		"wavetitle_ogre"                                                                       "Ogre (Arcane / Heavy)"
		"wavetitle_phantom"                                                                    "Phantom (Pierce / Medium)"
		"wavetitle_predator"                                                                   "Predator (Pierce / Medium)"
		"wavetitle_rubick"                                                                     "The Grand Magus (Arcane / Light)"
		"wavetitle_space_cow"                                                                  "Space Cow (Normal / Heavy)"
		"wavetitle_techies"                                                                    "I'm out (Arcane / Medium)"
		"wavetitle_templer"                                                                    "Templer (Arcane / Light)"
		"wavetitle_tidehunter"                                                                 "Tidehunter (Normal / Heavy)"
		"wavetitle_tiny"                                                                       "Tiny (Normal / Heavy)"
		"wavetitle_unicorn"                                                                    "Unicorn (Arcane / Light)"
		"wavetitle_zombie"                                                                     "Zombie (Arcane / Light)"
		

		// ******************** HEROES ********************
		"npc_dota_hero_wisp"                                                           "Elemental Builder"
		"npc_dota_hero_furion"                                                            "Nature Builder"
		"npc_dota_hero_legion_commander"                                                  "Human Builder"
		"npc_dota_hero_tinker"								"Mechanical Builder"
		"npc_dota_hero_rubick"															"Random Builder"
		"npc_dota_hero_skeleton_king"                                                     "Assassin Builder"
		
		// ******************** UNITS ********************
		"dire_boss"                                                                       "Dire King"
		"radiant_boss"                                                                    "Radiant King"
		"dire_food_building"                                                              "Dire Food Building"
		"dire_main_building"                                                              "Dire Main Building"
		"dire_unit_building"                                                              "Dire Unit Building"
		"dire_unit_building_2"                                                            "Dire Unit Building 2"
		"radiant_food_building"                                                           "Radiant Food Building"
		"radiant_main_building"                                                           "Radiant Main Building"
		"radiant_unit_building"                                                           "Radiant Unit Building"
		"radiant_unit_building_2"                                                         "Radiant Unit Building 2"
		"tower_elementalbuilder_earthbender"                                              "Earthbender"
		"tower_elementalbuilder_firebender"                                               "Firebender"
		"tower_elementalbuilder_thunderbender"                                            "Thunderbender"
		"tower_elementalbuilder_voidbender"                                               "Voidbender"
		"tower_elementalbuilder_waterbender"                                              "Waterbender"
		"incomeunit_centaur"                                                              "Centaur"
		"incomeunit_ghost"                                                                "Ghost"
		"incomeunit_golem"                                                                "Golem"
		"incomeunit_harpy"                                                                "Harpy"
		"incomeunit_hill_troll_shaman"                                                    "Hill Troll Shaman"
		"incomeunit_hill_troll_warrior"                                                   "Hill Troll Warrior"
		"incomeunit_kobold"                                                               "Kobold"
		"incomeunit_little_centaur"                                                       "Little Centaur"
		"incomeunit_little_golem"                                                         "Little Golem"
		"incomeunit_little_wolf"                                                          "Little Wolf"
		"incomeunit_ogre_warrior"                                                         "Ogre Warrior"
		"incomeunit_satyr"                                                                "Satyr"
		"incomeunit_wolf"                                                                 "Wolf"
		"incomeunit_ancientgolem"                                                         "Ancientgolem"
		"incomeunit_beast"                                                                "Beast"
		"incomeunit_big_lizard"                                                           "Big Lizard"
		"incomeunit_vulture"                                                              "Vulture"
		"incomeunit_diablo"                                                               "Diablo"
		"incomeunit_fleshgolem"                                                           "Fleshgolem"
		"incomeunit_hulk"                                                                 "Hulk"
		"incomeunit_jellyfish"                                                            "Jellyfish"
		"incomeunit_lizard"                                                               "Lizard"
		"incomeunit_lycanwolf"                                                            "Lycanwolf"
		"incomeunit_rosh"                                                                 "Rosh"
		"incomeunit_vulture"                                                              "Vulture"
		"incomeunit_black_drake"                                                          "Black Drake"
		"tower_naturebuilder_agressive_boar"                                              "Agressive Boar"
		"tower_naturebuilder_bear"                                                        "Bear"
		"tower_naturebuilder_big_bug"                                                     "Big Bug"
		"tower_naturebuilder_big_centaur"                                                 "Big Centaur"
		"tower_naturebuilder_broodmother"                                                 "Broodmother"
		"tower_naturebuilder_bug"                                                         "Bug"
		"tower_naturebuilder_centaur"                                                     "Centaur"
		"tower_naturebuilder_centaur_warrunner"                                           "Centaur Warrunner"
		"tower_naturebuilder_druid_bear"                                                  "Druid Bear"
		"tower_naturebuilder_flower_treant"                                               "Flower Treant"
		"tower_naturebuilder_hyena"                                                       "Hyena"
		"tower_naturebuilder_iron_bear"                                                   "Iron Bear"
		"tower_naturebuilder_shroom"                                                      "Shroom"
		"tower_naturebuilder_spider"                                                      "Spider"
		"tower_naturebuilder_treant"                                                      "Treant"
