-unit tower_elementalbuilder_thunderbender StatusHealth, 170
 -unit tower_elementalbuilder_thunderbender Ability4, sell
 -unit tower_elementalbuilder_thunderbender AttackRange, 370
 -unit tower_elementalbuilder_thunderbender BountyGoldMax, 0
 -unit tower_elementalbuilder_thunderbender Ability3, elementalbuilder_upgrade_thundergod
 -unit tower_elementalbuilder_thunderbender MagicalResistance, 0
 -unit tower_elementalbuilder_thunderbender Ability2, elementalbuilder_upgrade_thunderwarrior
 -unit tower_elementalbuilder_thunderbender Ability1, elementalbuilder_upgrade_thunderelemental
 -unit tower_elementalbuilder_thunderbender AttackDamageMax, 75
 -unit tower_elementalbuilder_thunderbender AttackDamageMin, 62.5
 -unit tower_elementalbuilder_thunderbender ArmorPhysical, 0
 -unit tower_elementalbuilder_thunderbender AttackRate, 0.89999997615814
 -unit tower_elementalbuilder_thunderbender BountyGoldMin, 0
 -unit tower_elementalbuilder_thunderbender AttackAcquisitionRange, 500
 -unit tower_naturebuilder_flower_treant StatusHealth, 600
 -unit tower_naturebuilder_flower_treant Ability4, sell
 -unit tower_naturebuilder_flower_treant AttackRange, 300
 -unit tower_naturebuilder_flower_treant BountyGoldMax, 0
 -unit tower_naturebuilder_flower_treant Ability3, ability_empty_3
 -unit tower_naturebuilder_flower_treant MagicalResistance, 20
 -Treant Vampiric Aura
 -DOTA_ABILITY_BEHAVIOR_PASSIVE | DOTA_ABILITY_BEHAVIOR_AURA(2)
 -Flower Treant Skadi
 -DOTA_ABILITY_BEHAVIOR_PASSIVE(1)
 -unit tower_naturebuilder_flower_treant AttackDamageMax, 275
 -unit tower_naturebuilder_flower_treant AttackDamageMin, 225
 -unit tower_naturebuilder_flower_treant ArmorPhysical, 2
 -unit tower_naturebuilder_flower_treant AttackRate, 1
 -unit tower_naturebuilder_flower_treant AttackAcquisitionRange, 500
 -unit tower_naturebuilder_flower_treant BountyGoldMin, 0
 -unit tower_elementalbuilder_earthbender StatusHealth, 360
 -unit tower_elementalbuilder_earthbender Ability4, sell
 -unit tower_elementalbuilder_earthbender AttackRange, 90
 -unit tower_elementalbuilder_earthbender BountyGoldMax, 0
 -unit tower_elementalbuilder_earthbender Ability3, elementalbuilder_upgrade_earthgod
 -unit tower_elementalbuilder_earthbender MagicalResistance, 0
 -unit tower_elementalbuilder_earthbender Ability2, elementalbuilder_upgrade_earthwarrior
 -unit tower_elementalbuilder_earthbender Ability1, elementalbuilder_upgrade_earthelemental
 -unit tower_elementalbuilder_earthbender AttackDamageMax, 50
 -unit tower_elementalbuilder_earthbender AttackDamageMin, 43.75
 -unit tower_elementalbuilder_earthbender ArmorPhysical, 4
 -unit tower_elementalbuilder_earthbender AttackRate, 1.1000000238419
 -unit tower_elementalbuilder_earthbender BountyGoldMin, 0
 -unit tower_elementalbuilder_earthbender AttackAcquisitionRange, 500
 -unit tower_naturebuilder_iron_bear StatusHealth, 950
 -unit tower_naturebuilder_iron_bear Ability4, sell
 -unit tower_naturebuilder_iron_bear AttackRange, 90
 -unit tower_naturebuilder_iron_bear BountyGoldMax, 0
 -unit tower_naturebuilder_iron_bear Ability3, ability_empty_3
 -unit tower_naturebuilder_iron_bear MagicalResistance, 0
 -unit tower_naturebuilder_iron_bear Ability2, ability_empty_2
 -Iron Bear Fury Swipes
 -DOTA_ABILITY_BEHAVIOR_PASSIVE(1)
 -unit tower_naturebuilder_iron_bear AttackDamageMax, 87.5
 -unit tower_naturebuilder_iron_bear AttackDamageMin, 75
 -unit tower_naturebuilder_iron_bear ArmorPhysical, 1
 -unit tower_naturebuilder_iron_bear AttackRate, 0.40000000596046
 -unit tower_naturebuilder_iron_bear AttackAcquisitionRange, 500
 -unit tower_naturebuilder_iron_bear BountyGoldMin, 0
 -unit tower_elementalbuilder_thundergod StatusHealth, 550
 -unit tower_elementalbuilder_thundergod Ability4, sell
 -unit tower_elementalbuilder_thundergod AttackRange, 500
 -unit tower_elementalbuilder_thundergod BountyGoldMax, 0
 -unit tower_elementalbuilder_thundergod Ability3, ability_empty_3
 -unit tower_elementalbuilder_thundergod MagicalResistance, 0
 -unit tower_elementalbuilder_thundergod Ability2, ability_empty_2
 -zuus_arc_lightning
 -unit tower_elementalbuilder_thundergod AttackDamageMax, 25
 -unit tower_elementalbuilder_thundergod AttackDamageMin, 12.5
 -unit tower_elementalbuilder_thundergod ArmorPhysical, 0
 -unit tower_elementalbuilder_thundergod AttackRate, 1
 -unit tower_elementalbuilder_thundergod AttackAcquisitionRange, 500
 -unit tower_elementalbuilder_thundergod BountyGoldMin, 0
 -unit tower_naturebuilder_druid_bear StatusHealth, 1120
 -unit tower_naturebuilder_druid_bear Ability4, sell
 -unit tower_naturebuilder_druid_bear AttackRange, 90
 -unit tower_naturebuilder_druid_bear BountyGoldMax, 0
 -unit tower_naturebuilder_druid_bear Ability3, ability_empty_3
 -unit tower_naturebuilder_druid_bear MagicalResistance, 20
 -axe_berserkers_call
